geo,geo_label,geo_eurostat,iso_a2,iso_a3,year,is_eu_aggregate,metric,value
PL,Poland,PL,PL,POL,2025,False,data_analytics_3_sources_pct,10.64
PT,Portugal,PT,PT,PRT,2025,False,data_analytics_3_sources_pct,22.65
RO,Romania,RO,RO,ROU,2025,False,data_analytics_3_sources_pct,18.36
SE,Sweden,SE,SE,SWE,2025,False,data_analytics_3_sources_pct,22.09
SI,Slovenia,SI,SI,SVN,2025,False,data_analytics_3_sources_pct,13.46
SK,Slovakia,SK,SK,SVK,2025,False,data_analytics_3_sources_pct,23.53
EU27_2020,European Union - 27 countries (from 2020),EU27_2020,,,2025,True,data_analytics_3_sources_pct,15.86
AT,Austria,AT,AT,AUT,2025,False,data_analytics_pct,26.34
BE,Belgium,BE,BE,BEL,2025,False,data_analytics_pct,52.09
BG,Bulgaria,BG,BG,BGR,2025,False,data_analytics_pct,27.06
CY,Cyprus,CY,CY,CYP,2025,False,data_analytics_pct,42.84
CZ,Czechia,CZ,CZ,CZE,2025,False,data_analytics_pct,44.6
DE,Germany,DE,DE,DEU,2025,False,data_analytics_pct,37.67
DK,Denmark,DK,DK,DNK,2025,False,data_analytics_pct,59.99
EE,Estonia,EE,EE,EST,2025,False,data_analytics_pct,55.99
EL,Greece,EL,GR,GRC,2025,False,data_analytics_pct,31.45
ES,Spain,ES,ES,ESP,2025,False,data_analytics_pct,47.07
FI,Finland,FI,FI,FIN,2025,False,data_analytics_pct,45.14
FR,France,FR,FR,FRA,2025,False,data_analytics_pct,39.27
HR,Croatia,HR,HR,HRV,2025,False,data_analytics_pct,41.9
HU,Hungary,HU,HU,HUN,2025,False,data_analytics_pct,40.56
IE,Ireland,IE,IE,IRL,2025,False,data_analytics_pct,40.79
IT,Italy,IT,IT,ITA,2025,False,data_analytics_pct,42.71
LT,Lithuania,LT,LT,LTU,2025,False,data_analytics_pct,54.11
LU,Luxembourg,LU,LU,LUX,2025,False,data_analytics_pct,38.24
LV,Latvia,LV,LV,LVA,2025,False,data_analytics_pct,36.37
